"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","H_INDEX"
"16563","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16564","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16565","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16566","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16567","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16568","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16569","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16570","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16571","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16572","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16595","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16596","aegyptiaca","I","aegyptiaca_senegalensis","1"
"16597","aegyptiaca","I","aegyptiaca_senegalensis","0.724"
"16598","aegyptiaca","I","aegyptiaca_senegalensis","0.405"
"16599","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16600","aegyptiaca","I","aegyptiaca_senegalensis","0.405"
"16601","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16602","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16603","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16604","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16605","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16606","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16607","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16608","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16609","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16627","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16628","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16629","aegyptiaca","I","aegyptiaca_senegalensis","0.195"
"16630","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16631","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16632","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16636","aegyptiaca","I","aegyptiaca_senegalensis","0.013"
"16637","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16638","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16639","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16640","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16641","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16642","aegyptiaca","I","aegyptiaca_senegalensis","0.202"
"16643","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16644","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16645","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16646","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16647","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16648","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16671","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16672","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16673","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16674","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16675","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16676","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16677","aegyptiaca","I","aegyptiaca_senegalensis","0.002"
"16678","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16679","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16680","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16681","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16682","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16683","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16684","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16685","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16686","aegyptiaca","I","aegyptiaca_senegalensis","0.206"
"16687","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16688","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16689","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16690","aegyptiaca","I","aegyptiaca_senegalensis","0.41"
"16709","aegyptiaca","I","aegyptiaca_senegalensis","0.005"
"16710","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16712","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16713","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16714","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16715","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16716","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16717","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16718","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16659","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16660","aegyptiaca","I","aegyptiaca_senegalensis","0.289"
"16691","aegyptiaca","I","aegyptiaca_senegalensis","1"
"16703","aegyptiaca","I","aegyptiaca_senegalensis","0"
"16649","senegalensis","I","aegyptiaca_senegalensis","1"
"16573","senegalensis","I","aegyptiaca_senegalensis","0"
"16574","senegalensis","I","aegyptiaca_senegalensis","0"
"16575","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16576","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16577","senegalensis","I","aegyptiaca_senegalensis","0"
"16578","senegalensis","I","aegyptiaca_senegalensis","0.682"
"16579","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16580","senegalensis","I","aegyptiaca_senegalensis","0"
"16581","senegalensis","I","aegyptiaca_senegalensis","1"
"16583","senegalensis","I","aegyptiaca_senegalensis","1"
"16584","senegalensis","I","aegyptiaca_senegalensis","1"
"16585","senegalensis","I","aegyptiaca_senegalensis","1"
"16586","senegalensis","I","aegyptiaca_senegalensis","1"
"16587","senegalensis","I","aegyptiaca_senegalensis","0"
"16588","senegalensis","I","aegyptiaca_senegalensis","0"
"16589","senegalensis","I","aegyptiaca_senegalensis","0.744"
"16590","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16611","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16612","senegalensis","I","aegyptiaca_senegalensis","1"
"16613","senegalensis","I","aegyptiaca_senegalensis","1"
"16614","senegalensis","I","aegyptiaca_senegalensis","1"
"16617","senegalensis","I","aegyptiaca_senegalensis","0.451"
"16622","senegalensis","I","aegyptiaca_senegalensis","0.703"
"16626","senegalensis","I","aegyptiaca_senegalensis","0.417"
"16652","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16653","senegalensis","I","aegyptiaca_senegalensis","0.194"
"16657","senegalensis","I","aegyptiaca_senegalensis","0.682"
"16721","senegalensis","I","aegyptiaca_senegalensis","1"
"16724","senegalensis","I","aegyptiaca_senegalensis","0.277"
"16725","senegalensis","I","aegyptiaca_senegalensis","0.076"
"16726","senegalensis","I","aegyptiaca_senegalensis","0"
"16727","senegalensis","I","aegyptiaca_senegalensis","0"
"16728","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16729","senegalensis","I","aegyptiaca_senegalensis","0.384"
"16730","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16731","senegalensis","I","aegyptiaca_senegalensis","0.682"
"16732","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16733","senegalensis","I","aegyptiaca_senegalensis","0.417"
"16734","senegalensis","I","aegyptiaca_senegalensis","0"
"16735","senegalensis","I","aegyptiaca_senegalensis","0"
"16736","senegalensis","I","aegyptiaca_senegalensis","0"
"16737","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16661","senegalensis","I","aegyptiaca_senegalensis","0.822"
"16662","senegalensis","I","aegyptiaca_senegalensis","0.417"
"16663","senegalensis","I","aegyptiaca_senegalensis","0"
"16664","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16665","senegalensis","I","aegyptiaca_senegalensis","0.088"
"16666","senegalensis","I","aegyptiaca_senegalensis","0"
"16667","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16669","senegalensis","I","aegyptiaca_senegalensis","0.41"
"16670","senegalensis","I","aegyptiaca_senegalensis","0"
"16692","senegalensis","I","aegyptiaca_senegalensis","0"
"16693","senegalensis","I","aegyptiaca_senegalensis","0.167"
"16694","senegalensis","I","aegyptiaca_senegalensis","0.268"
"16695","senegalensis","I","aegyptiaca_senegalensis","0"
"16696","senegalensis","I","aegyptiaca_senegalensis","0"
"16697","senegalensis","I","aegyptiaca_senegalensis","0.259"
"16698","senegalensis","I","aegyptiaca_senegalensis","0"
"16699","senegalensis","I","aegyptiaca_senegalensis","0"
"16700","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16701","senegalensis","I","aegyptiaca_senegalensis","0.451"
"16702","senegalensis","I","aegyptiaca_senegalensis","0"
"16704","senegalensis","I","aegyptiaca_senegalensis","0.405"
"16705","senegalensis","I","aegyptiaca_senegalensis","0.417"
"16706","senegalensis","I","aegyptiaca_senegalensis","0"
"16707","senegalensis","I","aegyptiaca_senegalensis","0.235"
"16708","senegalensis","I","aegyptiaca_senegalensis","0.265"
"16563","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16564","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16565","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16566","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16567","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16568","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16569","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16570","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16571","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16572","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16595","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16596","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16597","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16598","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16599","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16600","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16601","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16602","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16603","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16604","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16605","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16606","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16607","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16608","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16609","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16627","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16628","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16629","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16630","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16631","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16632","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16636","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16637","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16638","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16639","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16640","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16641","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16642","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16643","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16644","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16645","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16646","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16647","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16648","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16671","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16672","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16673","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16674","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16675","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16676","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16677","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16678","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16679","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16680","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16681","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16682","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16683","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16684","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16685","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16686","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16687","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16688","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16689","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16690","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16709","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16710","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16712","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16713","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16714","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16715","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16716","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16717","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16718","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16659","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16660","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16691","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16703","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16649","senegalensis","II","aegyptiaca_senegalensis","1"
"16573","senegalensis","II","aegyptiaca_senegalensis","0"
"16574","senegalensis","II","aegyptiaca_senegalensis","0"
"16575","senegalensis","II","aegyptiaca_senegalensis","1"
"16576","senegalensis","II","aegyptiaca_senegalensis","1"
"16577","senegalensis","II","aegyptiaca_senegalensis","0"
"16578","senegalensis","II","aegyptiaca_senegalensis","0"
"16579","senegalensis","II","aegyptiaca_senegalensis","0"
"16580","senegalensis","II","aegyptiaca_senegalensis","0.273"
"16581","senegalensis","II","aegyptiaca_senegalensis","1"
"16583","senegalensis","II","aegyptiaca_senegalensis","1"
"16584","senegalensis","II","aegyptiaca_senegalensis","1"
"16585","senegalensis","II","aegyptiaca_senegalensis","1"
"16586","senegalensis","II","aegyptiaca_senegalensis","1"
"16587","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16588","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16589","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16590","senegalensis","II","aegyptiaca_senegalensis","0"
"16611","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16612","senegalensis","II","aegyptiaca_senegalensis","1"
"16613","senegalensis","II","aegyptiaca_senegalensis","1"
"16614","senegalensis","II","aegyptiaca_senegalensis","1"
"16617","senegalensis","II","aegyptiaca_senegalensis","0"
"16622","senegalensis","II","aegyptiaca_senegalensis","0"
"16626","senegalensis","II","aegyptiaca_senegalensis","0.372"
"16652","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16653","senegalensis","II","aegyptiaca_senegalensis","0"
"16657","senegalensis","II","aegyptiaca_senegalensis","0"
"16721","senegalensis","II","aegyptiaca_senegalensis","1"
"16724","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16725","senegalensis","II","aegyptiaca_senegalensis","0"
"16726","senegalensis","II","aegyptiaca_senegalensis","0.376"
"16727","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16728","senegalensis","II","aegyptiaca_senegalensis","0"
"16729","senegalensis","II","aegyptiaca_senegalensis","0.276"
"16730","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16731","senegalensis","II","aegyptiaca_senegalensis","0"
"16732","senegalensis","II","aegyptiaca_senegalensis","0"
"16733","senegalensis","II","aegyptiaca_senegalensis","0"
"16734","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16735","senegalensis","II","aegyptiaca_senegalensis","0"
"16736","senegalensis","II","aegyptiaca_senegalensis","0"
"16737","senegalensis","II","aegyptiaca_senegalensis","0"
"16661","senegalensis","II","aegyptiaca_senegalensis","0"
"16662","senegalensis","II","aegyptiaca_senegalensis","0"
"16663","senegalensis","II","aegyptiaca_senegalensis","1"
"16664","senegalensis","II","aegyptiaca_senegalensis","0"
"16665","senegalensis","II","aegyptiaca_senegalensis","0.37"
"16666","senegalensis","II","aegyptiaca_senegalensis","1"
"16667","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16669","senegalensis","II","aegyptiaca_senegalensis","0.372"
"16670","senegalensis","II","aegyptiaca_senegalensis","0"
"16692","senegalensis","II","aegyptiaca_senegalensis","0"
"16693","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16694","senegalensis","II","aegyptiaca_senegalensis","1"
"16695","senegalensis","II","aegyptiaca_senegalensis","0"
"16696","senegalensis","II","aegyptiaca_senegalensis","0"
"16697","senegalensis","II","aegyptiaca_senegalensis","1"
"16698","senegalensis","II","aegyptiaca_senegalensis","0"
"16699","senegalensis","II","aegyptiaca_senegalensis","1"
"16700","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16701","senegalensis","II","aegyptiaca_senegalensis","0.374"
"16702","senegalensis","II","aegyptiaca_senegalensis","0"
"16704","senegalensis","II","aegyptiaca_senegalensis","0.56"
"16705","senegalensis","II","aegyptiaca_senegalensis","0.579"
"16706","senegalensis","II","aegyptiaca_senegalensis","0"
"16707","senegalensis","II","aegyptiaca_senegalensis","0"
"16708","senegalensis","II","aegyptiaca_senegalensis","0.551"
