"CLASS","SPECIES","ALLELE","HYBRID_ZONE","ALELLE_FREQ"
"I","aegyptiaca","Sol_MHCIex2_001","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_002","aegyptiaca_senegalensis",0.212121212121212
"I","aegyptiaca","Sol_MHCIex2_003","aegyptiaca_senegalensis",0.363636363636364
"I","aegyptiaca","Sol_MHCIex2_009","aegyptiaca_senegalensis",0.303030303030303
"I","aegyptiaca","Sol_MHCIex2_011","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_014","aegyptiaca_senegalensis",0.121212121212121
"I","aegyptiaca","Sol_MHCIex2_016","aegyptiaca_senegalensis",0.181818181818182
"I","aegyptiaca","Sol_MHCIex2_019","aegyptiaca_senegalensis",0.0909090909090909
"I","aegyptiaca","Sol_MHCIex2_020","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_022","aegyptiaca_senegalensis",0.181818181818182
"I","aegyptiaca","Sol_MHCIex2_023","aegyptiaca_senegalensis",0.121212121212121
"I","aegyptiaca","Sol_MHCIex2_025","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_026","aegyptiaca_senegalensis",0.272727272727273
"I","aegyptiaca","Sol_MHCIex2_027","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_030","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_032","aegyptiaca_senegalensis",0.0909090909090909
"I","aegyptiaca","Sol_MHCIex2_033","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_034","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_036","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_039","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_041","aegyptiaca_senegalensis",0.0909090909090909
"I","aegyptiaca","Sol_MHCIex2_047","aegyptiaca_senegalensis",0.0909090909090909
"I","aegyptiaca","Sol_MHCIex2_049","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_052","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_053","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_064","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_068","aegyptiaca_senegalensis",0.0909090909090909
"I","aegyptiaca","Sol_MHCIex2_076","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_079","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_081","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_085","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_089","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_097","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_098","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_099","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_100","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_103","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_105","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_112","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_114","aegyptiaca_senegalensis",0.121212121212121
"I","aegyptiaca","Sol_MHCIex2_116","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_120","aegyptiaca_senegalensis",0.0303030303030303
"I","aegyptiaca","Sol_MHCIex2_122","aegyptiaca_senegalensis",0.121212121212121
"I","aegyptiaca","Sol_MHCIex2_134","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_135","aegyptiaca_senegalensis",0.0606060606060606
"I","aegyptiaca","Sol_MHCIex2_156","aegyptiaca_senegalensis",0.0303030303030303
"I","senegalensis","Sol_MHCIex2_001","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_006","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_013","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_018","aegyptiaca_senegalensis",0.4
"I","senegalensis","Sol_MHCIex2_024","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_025","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_039","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_040","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_042","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_048","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_055","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_060","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_062","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_063","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_065","aegyptiaca_senegalensis",0.3
"I","senegalensis","Sol_MHCIex2_066","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_067","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_071","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_072","aegyptiaca_senegalensis",0.2
"I","senegalensis","Sol_MHCIex2_073","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_077","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_092","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_104","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_109","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_111","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_121","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_125","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_131","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_132","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_189","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_190","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_191","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_194","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_195","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_196","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_197","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_198","aegyptiaca_senegalensis",0.1
"I","senegalensis","Sol_MHCIex2_199","aegyptiaca_senegalensis",0.1
"II","aegyptiaca","Sol_MHCIIex2_001","aegyptiaca_senegalensis",0.121212121212121
"II","aegyptiaca","Sol_MHCIIex2_002","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_003","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_006","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_008","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_014","aegyptiaca_senegalensis",0.303030303030303
"II","aegyptiaca","Sol_MHCIIex2_015","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_017","aegyptiaca_senegalensis",0.303030303030303
"II","aegyptiaca","Sol_MHCIIex2_018","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_019","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_020","aegyptiaca_senegalensis",0.121212121212121
"II","aegyptiaca","Sol_MHCIIex2_022","aegyptiaca_senegalensis",0.272727272727273
"II","aegyptiaca","Sol_MHCIIex2_023","aegyptiaca_senegalensis",0.0909090909090909
"II","aegyptiaca","Sol_MHCIIex2_026","aegyptiaca_senegalensis",0.0909090909090909
"II","aegyptiaca","Sol_MHCIIex2_027","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_028","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_032","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_034","aegyptiaca_senegalensis",0.121212121212121
"II","aegyptiaca","Sol_MHCIIex2_040","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_041","aegyptiaca_senegalensis",0.121212121212121
"II","aegyptiaca","Sol_MHCIIex2_046","aegyptiaca_senegalensis",0.0909090909090909
"II","aegyptiaca","Sol_MHCIIex2_049","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_050","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_057","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_059","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_064","aegyptiaca_senegalensis",0.0606060606060606
"II","aegyptiaca","Sol_MHCIIex2_072","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_074","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_078","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_085","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_098","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_101","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_102","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_105","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_109","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_111","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_112","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_114","aegyptiaca_senegalensis",0.0303030303030303
"II","aegyptiaca","Sol_MHCIIex2_118","aegyptiaca_senegalensis",0.0303030303030303
"II","senegalensis","Sol_MHCIIex2_013","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_029","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_036","aegyptiaca_senegalensis",0.3
"II","senegalensis","Sol_MHCIIex2_042","aegyptiaca_senegalensis",0.2
"II","senegalensis","Sol_MHCIIex2_048","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_052","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_055","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_056","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_060","aegyptiaca_senegalensis",0.2
"II","senegalensis","Sol_MHCIIex2_063","aegyptiaca_senegalensis",0.2
"II","senegalensis","Sol_MHCIIex2_066","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_067","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_087","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_088","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_091","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_092","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_095","aegyptiaca_senegalensis",0.1
"II","senegalensis","Sol_MHCIIex2_099","aegyptiaca_senegalensis",0.1
