SP1,SP2,DISTANCE
vaucheri,cristatus,692.2996
vaucheri,montandoni,692.299601
vaucheri,vulgaris,692.299601
vaucheri,glareolus,633.2801
vaucheri,rutilus,633.2801
vaucheri,bocagei,9.4
vaucheri,guadarramae,9.4
vaucheri,virescens,9.4
vaucheri,hispanicus,8.4
vaucheri,vaucheri,0
vaucheri,carbonelli,10.6
vaucheri,liolepis,13.6
vaucheri,astreptophora,371.6648
vaucheri,helvetica,371.6648
vaucheri,natrix,371.6648
vaucheri,colchica,371.6649
vaucheri,fragilis,371.6649
vaucheri,orbicularis,588.8563
vaucheri,trinacris,588.8563
vaucheri,varius,588.8566
vaucheri,ruber,588.8566
vaucheri,nuchalis,588.8566
vaucheri,salar,898.1456
vaucheri,trutta,898.1456
vaucheri,senegalensis,898.1456
vaucheri,aegyptiaca,898.1456
carbonelli,bombina,692.2998
carbonelli,variegata,692.2998
carbonelli,marmoratus,692.2996
carbonelli,pygmaeus,692.2996
carbonelli,ivanbureschi,692.2996
carbonelli,anatolicus,692.2996
carbonelli,macedonicus,692.2996
carbonelli,cristatus,692.2996
carbonelli,montandoni,692.299601
carbonelli,vulgaris,692.299601
carbonelli,glareolus,633.2801
carbonelli,rutilus,633.2801
carbonelli,bocagei,10.6
carbonelli,guadarramae,10.6
carbonelli,virescens,10.6
carbonelli,hispanicus,10.6
carbonelli,vaucheri,10.6
carbonelli,carbonelli,0
carbonelli,liolepis,13.6
carbonelli,astreptophora,371.6648
carbonelli,helvetica,371.6648
carbonelli,natrix,371.6648
carbonelli,colchica,371.6649
carbonelli,fragilis,371.6649
carbonelli,orbicularis,588.8563
carbonelli,trinacris,588.8563
carbonelli,varius,588.8566
carbonelli,ruber,588.8566
carbonelli,nuchalis,588.8566
carbonelli,salar,898.1456
carbonelli,trutta,898.1456
carbonelli,senegalensis,898.1456
carbonelli,aegyptiaca,898.1456
liolepis,bombina,692.2998
liolepis,variegata,692.2998
liolepis,marmoratus,692.2996
liolepis,pygmaeus,692.2996
liolepis,ivanbureschi,692.2996
liolepis,anatolicus,692.2996
liolepis,macedonicus,692.2996
liolepis,cristatus,692.2996
liolepis,montandoni,692.299601
liolepis,vulgaris,692.299601
liolepis,glareolus,633.2801
liolepis,rutilus,633.2801
liolepis,bocagei,13.6
liolepis,guadarramae,13.6
liolepis,virescens,13.6
liolepis,hispanicus,13.6
liolepis,vaucheri,13.6
liolepis,carbonelli,13.6
liolepis,liolepis,0
liolepis,astreptophora,371.6648
liolepis,helvetica,371.6648
liolepis,natrix,371.6648
liolepis,colchica,371.6649
liolepis,fragilis,371.6649
liolepis,orbicularis,588.8563
liolepis,trinacris,588.8563
liolepis,varius,588.8566
liolepis,ruber,588.8566
liolepis,nuchalis,588.8566
liolepis,salar,898.1456
liolepis,trutta,898.1456
liolepis,senegalensis,898.1456
liolepis,aegyptiaca,898.1456
astreptophora,bombina,692.2994
astreptophora,variegata,692.2994
astreptophora,marmoratus,692.2992
astreptophora,pygmaeus,692.2992
astreptophora,ivanbureschi,692.2992
astreptophora,anatolicus,692.2992
astreptophora,macedonicus,692.2992
astreptophora,cristatus,692.2992
astreptophora,montandoni,692.299201
astreptophora,vulgaris,692.299201
astreptophora,glareolus,633.2797
astreptophora,rutilus,633.2797
astreptophora,bocagei,371.6648
astreptophora,guadarramae,371.6648
astreptophora,virescens,371.6648
astreptophora,hispanicus,371.6648
astreptophora,vaucheri,371.6648
astreptophora,carbonelli,371.6648
astreptophora,liolepis,371.6648
astreptophora,astreptophora,0
astreptophora,helvetica,21.2
astreptophora,natrix,21.2
astreptophora,colchica,358.6047
astreptophora,fragilis,358.6047
astreptophora,orbicularis,588.8559
astreptophora,trinacris,588.8559
astreptophora,varius,588.8562
astreptophora,ruber,588.8562
astreptophora,nuchalis,588.8562
astreptophora,salar,898.1452
astreptophora,trutta,898.1452
astreptophora,senegalensis,898.1452
astreptophora,aegyptiaca,898.1452
helvetica,bombina,692.2994
helvetica,variegata,692.2994
helvetica,marmoratus,692.2992
helvetica,pygmaeus,692.2992
helvetica,ivanbureschi,692.2992
helvetica,anatolicus,692.2992
helvetica,macedonicus,692.2992
helvetica,cristatus,692.2992
helvetica,montandoni,692.299201
helvetica,vulgaris,692.299201
helvetica,glareolus,633.2797
helvetica,rutilus,633.2797
helvetica,bocagei,371.6648
helvetica,guadarramae,371.6648
helvetica,virescens,371.6648
helvetica,hispanicus,371.6648
helvetica,vaucheri,371.6648
helvetica,carbonelli,371.6648
helvetica,liolepis,371.6648
helvetica,astreptophora,21.2
helvetica,helvetica,0
helvetica,natrix,17.2
helvetica,colchica,358.6047
helvetica,fragilis,358.6047
helvetica,orbicularis,588.8559
helvetica,trinacris,588.8559
helvetica,varius,588.8562
helvetica,ruber,588.8562
helvetica,nuchalis,588.8562
helvetica,salar,898.1452
helvetica,trutta,898.1452
helvetica,senegalensis,898.1452
helvetica,aegyptiaca,898.1452
natrix,bombina,692.2994
natrix,variegata,692.2994
natrix,marmoratus,692.2992
natrix,pygmaeus,692.2992
natrix,ivanbureschi,692.2992
natrix,anatolicus,692.2992
natrix,macedonicus,692.2992
natrix,cristatus,692.2992
natrix,montandoni,692.299201
natrix,vulgaris,692.299201
natrix,glareolus,633.2797
natrix,rutilus,633.2797
natrix,bocagei,371.6648
natrix,guadarramae,371.6648
natrix,virescens,371.6648
natrix,hispanicus,371.6648
natrix,vaucheri,371.6648
natrix,carbonelli,371.6648
natrix,liolepis,371.6648
natrix,astreptophora,21.2
natrix,helvetica,17.2
natrix,natrix,0
natrix,colchica,358.6047
natrix,fragilis,358.6047
natrix,orbicularis,588.8559
natrix,trinacris,588.8559
natrix,varius,588.8562
natrix,ruber,588.8562
natrix,nuchalis,588.8562
natrix,salar,898.1452
natrix,trutta,898.1452
natrix,senegalensis,898.1452
natrix,aegyptiaca,898.1452
colchica,bombina,692.2995
colchica,variegata,692.2995
colchica,marmoratus,692.2993
colchica,pygmaeus,692.2993
colchica,ivanbureschi,692.2993
colchica,anatolicus,692.2993
colchica,macedonicus,692.2993
colchica,cristatus,692.2993
colchica,montandoni,692.299301
colchica,vulgaris,692.299301
colchica,glareolus,633.2798
colchica,rutilus,633.2798
colchica,bocagei,371.6649
colchica,guadarramae,371.6649
colchica,virescens,371.6649
colchica,hispanicus,371.6649
colchica,vaucheri,371.6649
colchica,carbonelli,371.6649
colchica,liolepis,371.6649
colchica,astreptophora,358.6047
colchica,helvetica,358.6047
colchica,natrix,358.6047
colchica,colchica,0
colchica,fragilis,8.2
colchica,orbicularis,588.856
colchica,trinacris,588.856
colchica,varius,588.8563
colchica,ruber,588.8563
colchica,nuchalis,588.8563
colchica,salar,898.1453
colchica,trutta,898.1453
colchica,senegalensis,898.1453
colchica,aegyptiaca,898.1453
fragilis,bombina,692.2995
fragilis,variegata,692.2995
fragilis,marmoratus,692.2993
fragilis,pygmaeus,692.2993
fragilis,ivanbureschi,692.2993
fragilis,anatolicus,692.2993
fragilis,macedonicus,692.2993
fragilis,cristatus,692.2993
fragilis,montandoni,692.299301
fragilis,vulgaris,692.299301
fragilis,glareolus,633.2798
fragilis,rutilus,633.2798
fragilis,bocagei,371.6649
fragilis,guadarramae,371.6649
fragilis,virescens,371.6649
fragilis,hispanicus,371.6649
fragilis,vaucheri,371.6649
fragilis,carbonelli,371.6649
fragilis,liolepis,371.6649
fragilis,astreptophora,358.6047
fragilis,helvetica,358.6047
fragilis,natrix,358.6047
fragilis,colchica,8.2
fragilis,fragilis,0
fragilis,orbicularis,588.856
fragilis,trinacris,588.856
fragilis,varius,588.8563
fragilis,ruber,588.8563
fragilis,nuchalis,588.8563
fragilis,salar,898.1453
fragilis,trutta,898.1453
fragilis,senegalensis,898.1453
fragilis,aegyptiaca,898.1453
orbicularis,bombina,692.2995
orbicularis,variegata,692.2995
orbicularis,marmoratus,692.2993
orbicularis,pygmaeus,692.2993
orbicularis,ivanbureschi,692.2993
orbicularis,anatolicus,692.2993
orbicularis,macedonicus,692.2993
orbicularis,cristatus,692.2993
orbicularis,montandoni,692.299301
orbicularis,vulgaris,692.299301
orbicularis,glareolus,633.2798
orbicularis,rutilus,633.2798
orbicularis,bocagei,588.8563
orbicularis,guadarramae,588.8563
orbicularis,virescens,588.8563
orbicularis,hispanicus,588.8563
orbicularis,vaucheri,588.8563
orbicularis,carbonelli,588.8563
orbicularis,liolepis,588.8563
orbicularis,astreptophora,588.8559
orbicularis,helvetica,588.8559
orbicularis,natrix,588.8559
orbicularis,colchica,588.856
orbicularis,fragilis,588.856
orbicularis,orbicularis,0
orbicularis,trinacris,10
orbicularis,varius,563.4293
orbicularis,ruber,563.4293
orbicularis,nuchalis,563.4293
orbicularis,salar,898.1453
orbicularis,trutta,898.1453
orbicularis,senegalensis,898.1453
orbicularis,aegyptiaca,898.1453
trinacris,bombina,692.2995
trinacris,variegata,692.2995
trinacris,marmoratus,692.2993
trinacris,pygmaeus,692.2993
trinacris,ivanbureschi,692.2993
trinacris,anatolicus,692.2993
trinacris,macedonicus,692.2993
trinacris,cristatus,692.2993
trinacris,montandoni,692.299301
trinacris,vulgaris,692.299301
trinacris,glareolus,633.2798
trinacris,rutilus,633.2798
trinacris,bocagei,588.8563
trinacris,guadarramae,588.8563
trinacris,virescens,588.8563
trinacris,hispanicus,588.8563
trinacris,vaucheri,588.8563
trinacris,carbonelli,588.8563
trinacris,liolepis,588.8563
trinacris,astreptophora,588.8559
trinacris,helvetica,588.8559
trinacris,natrix,588.8559
trinacris,colchica,588.856
trinacris,fragilis,588.856
trinacris,orbicularis,10
trinacris,trinacris,0
trinacris,varius,563.4293
trinacris,ruber,563.4293
trinacris,nuchalis,563.4293
trinacris,salar,898.1453
trinacris,trutta,898.1453
trinacris,senegalensis,898.1453
trinacris,aegyptiaca,898.1453
varius,bombina,692.2998
varius,variegata,692.2998
varius,marmoratus,692.2996
varius,pygmaeus,692.2996
varius,ivanbureschi,692.2996
varius,anatolicus,692.2996
varius,macedonicus,692.2996
varius,cristatus,692.2996
varius,montandoni,692.299601
varius,vulgaris,692.299601
varius,glareolus,633.2801
varius,rutilus,633.2801
varius,bocagei,588.8566
varius,guadarramae,588.8566
varius,virescens,588.8566
varius,hispanicus,588.8566
varius,vaucheri,588.8566
varius,carbonelli,588.8566
varius,liolepis,588.8566
varius,astreptophora,588.8562
varius,helvetica,588.8562
varius,natrix,588.8562
varius,colchica,588.8563
varius,fragilis,588.8563
varius,orbicularis,563.4293
varius,trinacris,563.4293
varius,varius,0
varius,ruber,2.2
varius,nuchalis,2.2
varius,salar,898.1456
varius,trutta,898.1456
varius,senegalensis,898.1456
varius,aegyptiaca,898.1456
ruber,bombina,692.2998
ruber,variegata,692.2998
ruber,marmoratus,692.2996
ruber,pygmaeus,692.2996
ruber,ivanbureschi,692.2996
ruber,anatolicus,692.2996
ruber,macedonicus,692.2996
ruber,cristatus,692.2996
ruber,montandoni,692.299601
ruber,vulgaris,692.299601
ruber,glareolus,633.2801
ruber,rutilus,633.2801
ruber,bocagei,588.8566
ruber,guadarramae,588.8566
ruber,virescens,588.8566
ruber,hispanicus,588.8566
ruber,vaucheri,588.8566
ruber,carbonelli,588.8566
ruber,liolepis,588.8566
ruber,astreptophora,588.8562
ruber,helvetica,588.8562
ruber,natrix,588.8562
ruber,colchica,588.8563
ruber,fragilis,588.8563
ruber,orbicularis,563.4293
ruber,trinacris,563.4293
ruber,varius,2.2
ruber,ruber,0
ruber,nuchalis,0.6
ruber,salar,898.1456
ruber,trutta,898.1456
ruber,senegalensis,898.1456
ruber,aegyptiaca,898.1456
nuchalis,bombina,692.2998
nuchalis,variegata,692.2998
nuchalis,marmoratus,692.2996
nuchalis,pygmaeus,692.2996
nuchalis,ivanbureschi,692.2996
nuchalis,anatolicus,692.2996
nuchalis,macedonicus,692.2996
nuchalis,cristatus,692.2996
nuchalis,montandoni,692.299601
nuchalis,vulgaris,692.299601
nuchalis,glareolus,633.2801
nuchalis,rutilus,633.2801
nuchalis,bocagei,588.8566
nuchalis,guadarramae,588.8566
nuchalis,virescens,588.8566
nuchalis,hispanicus,588.8566
nuchalis,vaucheri,588.8566
nuchalis,carbonelli,588.8566
nuchalis,liolepis,588.8566
nuchalis,astreptophora,588.8562
nuchalis,helvetica,588.8562
nuchalis,natrix,588.8562
nuchalis,colchica,588.8563
nuchalis,fragilis,588.8563
nuchalis,orbicularis,563.4293
nuchalis,trinacris,563.4293
nuchalis,varius,2.2
nuchalis,ruber,0.6
nuchalis,nuchalis,0
nuchalis,salar,898.1456
nuchalis,trutta,898.1456
nuchalis,senegalensis,898.1456
nuchalis,aegyptiaca,898.1456
salar,bombina,898.1456
salar,variegata,898.1456
salar,marmoratus,898.1454
salar,pygmaeus,898.1454
salar,ivanbureschi,898.1454
salar,anatolicus,898.1454
salar,macedonicus,898.1454
salar,cristatus,898.1454
salar,montandoni,898.145401
salar,vulgaris,898.145401
salar,glareolus,898.1455
salar,rutilus,898.1455
salar,bocagei,898.1456
salar,guadarramae,898.1456
salar,virescens,898.1456
salar,hispanicus,898.1456
salar,vaucheri,898.1456
salar,carbonelli,898.1456
salar,liolepis,898.1456
salar,astreptophora,898.1452
salar,helvetica,898.1452
salar,natrix,898.1452
salar,colchica,898.1453
salar,fragilis,898.1453
salar,orbicularis,898.1453
salar,trinacris,898.1453
salar,varius,898.1456
salar,ruber,898.1456
salar,nuchalis,898.1456
salar,salar,0
salar,trutta,16.6
salar,senegalensis,332
salar,aegyptiaca,332
trutta,bombina,898.1456
trutta,variegata,898.1456
trutta,marmoratus,898.1454
trutta,pygmaeus,898.1454
trutta,ivanbureschi,898.1454
trutta,anatolicus,898.1454
trutta,macedonicus,898.1454
trutta,cristatus,898.1454
trutta,montandoni,898.145401
trutta,vulgaris,898.145401
trutta,glareolus,898.1455
trutta,rutilus,898.1455
trutta,bocagei,898.1456
trutta,guadarramae,898.1456
trutta,virescens,898.1456
trutta,hispanicus,898.1456
trutta,vaucheri,898.1456
trutta,carbonelli,898.1456
trutta,liolepis,898.1456
trutta,astreptophora,898.1452
trutta,helvetica,898.1452
trutta,natrix,898.1452
trutta,colchica,898.1453
trutta,fragilis,898.1453
trutta,orbicularis,898.1453
trutta,trinacris,898.1453
trutta,varius,898.1456
trutta,ruber,898.1456
trutta,nuchalis,898.1456
trutta,salar,16.6
trutta,trutta,0
trutta,senegalensis,332
trutta,aegyptiaca,332
senegalensis,bombina,898.1456
senegalensis,variegata,898.1456
senegalensis,marmoratus,898.1454
senegalensis,pygmaeus,898.1454
senegalensis,ivanbureschi,898.1454
senegalensis,anatolicus,898.1454
senegalensis,macedonicus,898.1454
senegalensis,cristatus,898.1454
senegalensis,montandoni,898.145401
senegalensis,vulgaris,898.145401
senegalensis,glareolus,898.1455
senegalensis,rutilus,898.1455
senegalensis,bocagei,898.1456
senegalensis,guadarramae,898.1456
senegalensis,virescens,898.1456
senegalensis,hispanicus,898.1456
senegalensis,vaucheri,898.1456
senegalensis,carbonelli,898.1456
senegalensis,liolepis,898.1456
senegalensis,astreptophora,898.1452
senegalensis,helvetica,898.1452
senegalensis,natrix,898.1452
senegalensis,colchica,898.1453
senegalensis,fragilis,898.1453
senegalensis,orbicularis,898.1453
senegalensis,trinacris,898.1453
senegalensis,varius,898.1456
senegalensis,ruber,898.1456
senegalensis,nuchalis,898.1456
senegalensis,salar,332
senegalensis,trutta,332
senegalensis,senegalensis,0
senegalensis,aegyptiaca,19.2
aegyptiaca,bombina,898.1456
aegyptiaca,variegata,898.1456
aegyptiaca,marmoratus,898.1454
aegyptiaca,pygmaeus,898.1454
aegyptiaca,ivanbureschi,898.1454
aegyptiaca,anatolicus,898.1454
aegyptiaca,macedonicus,898.1454
aegyptiaca,cristatus,898.1454
aegyptiaca,montandoni,898.145401
aegyptiaca,vulgaris,898.145401
aegyptiaca,glareolus,898.1455
aegyptiaca,rutilus,898.1455
aegyptiaca,bocagei,898.1456
aegyptiaca,guadarramae,898.1456
aegyptiaca,virescens,898.1456
aegyptiaca,hispanicus,898.1456
aegyptiaca,vaucheri,898.1456
aegyptiaca,carbonelli,898.1456
aegyptiaca,liolepis,898.1456
aegyptiaca,astreptophora,898.1452
aegyptiaca,helvetica,898.1452
aegyptiaca,natrix,898.1452
aegyptiaca,colchica,898.1453
aegyptiaca,fragilis,898.1453
aegyptiaca,orbicularis,898.1453
aegyptiaca,trinacris,898.1453
aegyptiaca,varius,898.1456
aegyptiaca,ruber,898.1456
aegyptiaca,nuchalis,898.1456
aegyptiaca,salar,332
aegyptiaca,trutta,332
aegyptiaca,senegalensis,19.2
aegyptiaca,aegyptiaca,0
